nombre,categoria,sub_categoria,calificacion,precio_descuento,precio_actual,genero,supermarket,edad,imagen_url,link,marca
"Televisor BLACKLINE LED 55"" UHD 4K Smart Tv BL-TV55UEG5F4PE",Televisores,,,,"S/ 1,099.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/8086055-275-275/image-1e1ff056bb9c44a48ef0e9b90d0adbc2.jpg?v=638574541878170000,https://www.promart.pe/televisor-blackline-led-55--uhd-4k-smart-tv-bl-tv55ueg5f4pe-1000701686/p,blackline
"Televisor BLACKLINE LED 50"" UHD 4K Smart Tv BL-TV50UEG5F4PE",Televisores,,,,S/ 949.00,,promart,,https://promart.vteximg.com.br/arquivos/ids/8086056-275-275/image-0949d70a55424bd698269ca967dc75ea.jpg?v=638574541878170000 ,https://www.promart.pe/televisor-blackline-led-50--uhd-4k-smart-tv-bl-tv50ueg5f4pe-1000701685/p,blackline
"Televisor HYUNDAI LED 43"" FHD Smart TV HYLED4322GiM",Televisores,,,,S/ 749.00,,promart,,https://promart.vteximg.com.br/arquivos/ids/7762692-275-275/image-532c82e14d55401b831cb72d6ea62b42.jpg?v=638403531514130000 ,https://www.promart.pe/televisor-hyundai-led-43--fhd-smart-tv-hyled4322gim-1000508103/p,hyundai
"Televisor TCL LED 43"" UHD 4K Smart Tv 43P635",Televisores,,,,S/ 799.00,,promart,,https://promart.vteximg.com.br/arquivos/ids/7679834-275-275/image-ec1fce3bde4e4a188f897be0a7bb4b12.jpg?v=638367953920600000 ,https://www.promart.pe/televisor-tcl-led-43--uhd-4k-smart-tv-43p635-1000489724/p,tcl
"Televisor HYUNDAI LED 50"" UHD 4K Smart Tv  HYLED5020G4KM",Televisores,,,,"S/ 1,049.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/6968185-275-275/image-189bbf214079449eaae30097e79f034f.jpg?v=638186594998030000 ,https://www.promart.pe/televisor-hyundai-led-50--uhd-4k-smart-tv--hyled5020g4km-1000385243/p,hyundai
"Televisor Hyundai Led 32"" HYLED3256WiM HD Smart TV",Televisores,,,,S/ 459.00,,promart,,https://promart.vteximg.com.br/arquivos/ids/8079025-275-275/image-b1b8707d222f47c18d73de38ffd2ffd7.jpg?v=638568211067770000 ,https://www.promart.pe/televisor-hyundai-led-32--hyled3256wim-hd-smart-tv-1000699864/p,hyundai
"Televisor LG LED 75"" UHD 4K ThinQ AI UR8750",Televisores,,,,"S/ 2,899.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/8024847-275-275/image-d3cb17fbe4674c9bbffe0e945db2fc9b.jpg?v=638544235504170000 ,https://www.promart.pe/televisor-lg-led-75--uhd-4k-thinq-ai-ur8750-1000561618/p,lg
"Televisor Samsung 50"" UN50DU7000GXPE Crystal 4K UHD DU7000 Tizen OS Smart TV Black",Televisores,,,,"S/ 1,399.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/8132991-275-275/image-206ab42ee5d6479986f7ac035e74897d.jpg?v=638622031297870000 ,https://www.promart.pe/televisor-samsung-50--un50du7000gxpe-crystal-4k-uhd-du7000-tizen-os-smart-tv-black-1000710758/p,samsung
"Televisor Hisense 85"" 85Q6N 4K UHD QLED  Google Tv",Televisores,,,,"S/ 3,699.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/8079022-275-275/image-9c4de8004d544887820a5a936257e910.jpg?v=638568210857030000 ,https://www.promart.pe/televisor-hisense-85--85q6n-4k-uhd-qled--google-tv-1000699863/p,hisense
"Televisor Hisense 65A6NA 65"" UHD 4K Google TV",Televisores,,,,"S/ 1,599.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/8057794-275-275/image-30bc394e42f34452bc490cdc4d8f01c6.jpg?v=638562531563030000 ,https://www.promart.pe/televisor-hisense-65a6na-65--uhd-4k-google-tv-1000696382/p,hisense
"Televisor BLACKLINE LED  75"" UHD 4K Smart Tv BL-TV75UHG5F3PE",Televisores,,,,"S/ 2,099.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/7772447-275-275/20358021.jpg?v=638409341191530000 ,https://www.promart.pe/televisor-blackline-led--75--uhd-4k-smart-tv-bl-tv75uhg5f3pe-1000489733/p,blackline
"Televisor TCL LED 32"" FHD Smart Tv 32S5400AF",Televisores,,,,S/ 499.00,,promart,,https://promart.vteximg.com.br/arquivos/ids/7914044-275-275/20377855.jpg?v=638476631597230000 ,https://www.promart.pe/televisor-tcl-led-32--fhd-smart-tv-32s5400af-1000489729/p,tcl
"Televisor LG LED 55"" UHD 4K ThinQ AI 55UR8750PSA (2023)",Televisores,,,,"S/ 1,399.00",,promart,,https://promart.vteximg.com.br/arquivos/ids/7020851-275-275/image-32a9d1a9398d45c88b0affec4a170c1d.jpg?v=638198774768230000 ,https://www.promart.pe/televisor-lg-led-55--uhd-4k-thinq-ai-55ur8750psa--2023--1000392161/p,lg
